"","StandortID","KaboStatus","AktStandorttyp","x_200","y_200","Gemeinde","periode","p.dat","param_txt","einheit","WertOB","WertOB_tab","Klasse_OB","WertUB","WertUB_tab","Klasse_UB"
"1",16219,"NS","Acker",2701400,1240000,"Gossau",6,2022-06-29,"Quecksilber","ppm",0.09,"0.09","0",0.04,"0.04","0"
"2",1631,"NS","Acker",2705000,1240400,"Hinwil",2,2000-08-08,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"3",1631,"NS","Acker",2705000,1240400,"Hinwil",3,2005-10-26,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"4",1631,"NS","Acker",2705000,1240400,"Hinwil",4,2010-11-25,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"5",1631,"NS","Acker",2705000,1240400,"Hinwil",5,2015-11-11,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"6",1631,"NS","Acker",2705000,1240400,"Hinwil",6,2020-11-13,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"7",6398,"NS","Wald",2697400,1263200,"Winterthur",1,1995-09-19,"Quecksilber","ppm",0.11,"0.11","0",0.04,"0.04","0"
"8",6398,"NS","Wald",2697400,1263200,"Winterthur",2,2000-07-19,"Quecksilber","ppm",0,"<0.15","-1",0.04,"0.04","0"
"9",6398,"NS","Wald",2697400,1263200,"Winterthur",3,2005-10-27,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"10",6398,"NS","Wald",2697400,1263200,"Winterthur",4,2010-09-02,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"11",6398,"NS","Wald",2697400,1263200,"Winterthur",5,2015-09-24,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"12",6398,"NS","Wald",2697400,1263200,"Winterthur",6,2024-02-29,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"13",6399,"NS","Wald",2694200,1269000,"Henggart",1,1995-09-07,"Quecksilber","ppm",0.09,"0.09","0",0.05,"0.05","0"
