"","StandortID","x_200","y_200","Gemeinde"
"1",1631,2705000,1240400,"Hinwil"
"2",6398,2697400,1263200,"Winterthur"
"3",6399,2694200,1269000,"Henggart"
"4",6400,2695200,1263800,"Winterthur"
"5",6401,2697000,1264400,"Seuzach"
"6",6402,2698600,1263200,"Winterthur"
"7",6403,2702400,1265200,"Wiesendangen"
"8",6404,2702200,1268600,"Rickenbach"
"9",6405,2690000,1277000,"Rheinau"
"10",6406,2694800,1274600,"Ossingen"
"11",6407,2694600,1275200,"Ossingen"
"12",6408,2695600,1264200,"Winterthur"
"13",6409,2703200,1264200,"Wiesendangen"
"14",6410,2703400,1268400,"Ellikon a.d.T"
"15",6411,2703200,1269000,"Ellikon a.d.T"
"16",6412,2690400,1277600,"Benken"
"17",6413,2691200,1277400,"Marthalen"
"18",6414,2692600,1276000,"Kleinandelfingen"
"19",6415,2695200,1271200,"Andelfingen"
"20",6416,2694200,1274400,"Kleinandelfingen"
"21",6417,2692600,1277400,"Trüllikon"
"22",6418,2696000,1268400,"Dägerlen"
"23",6419,2697000,1271400,"Thalheim a.d.T"
"24",6420,2696000,1275000,"Ossingen"
"25",6421,2697200,1268400,"Dägerlen"
"26",6422,2697200,1274600,"Ossingen"
"27",6423,2696800,1266400,"Seuzach"
"28",6424,2696400,1269200,"Dägerlen"
"29",6425,2695800,1267800,"Hettlingen"
"30",6426,2696800,1268400,"Dägerlen"
"31",6427,2689600,1267000,"Buch a.I."
"32",6428,2688200,1267800,"Berg a.I."
"33",6429,2687800,1268800,"Berg a.I."
"34",6430,2693800,1270800,"Andelfingen"
"35",6431,2696600,1266400,"Seuzach"
"36",6432,2697400,1268600,"Dägerlen"
"37",6433,2695600,1270800,"Andelfingen"
"38",6434,2698000,1266400,"Seuzach"
"39",6435,2696400,1270200,"Dägerlen"
"40",6436,2695600,1269600,"Dägerlen"
"41",6437,2697200,1271400,"Thalheim a.d.T"
"42",6438,2696200,1274800,"Ossingen"
"43",6439,2694200,1270600,"Andelfingen"
"44",6440,2687600,1267800,"Berg a.I."
"45",6441,2694800,1272800,"Kleinandelfingen"
"46",6442,2692000,1270600,"Humlikon"
"47",6444,2692800,1269800,"Humlikon"
"48",6445,2687200,1268600,"Berg a.I."
"49",6447,2689600,1268600,"Buch a.I."
"50",6448,2696400,1269400,"Dägerlen"
"51",6449,2692200,1270600,"Humlikon"
"52",6450,2697600,1269800,"Dägerlen"
"53",6451,2693200,1275000,"Kleinandelfingen"
"54",6452,2694600,1273200,"Kleinandelfingen"
"55",6453,2696200,1268200,"Dägerlen"
"56",6454,2689600,1269400,"Volken"
"57",6455,2696600,1267800,"Hettlingen"
"58",6456,2693400,1266600,"Neftenbach"
"59",6457,2692600,1268000,"Neftenbach"
"60",6458,2693400,1268400,"Henggart"
"61",6459,2693200,1274800,"Kleinandelfingen"
"62",6566,2694000,1258200,"Brütten"
"63",6570,2694800,1240600,"Egg"
"64",7089,2676800,1257200,"Buchs"
"65",7090,2679200,1256800,"Niederhasli"
"66",7091,2679800,1256200,"Niederhasli"
"67",7092,2686000,1254800,"Opfikon"
"68",7093,2695200,1239400,"Egg"
"69",7094,2701800,1240200,"Gossau"
"70",7095,2699200,1241600,"Gossau"
"71",7096,2700400,1239400,"Gossau"
"72",7097,2701600,1238000,"Gossau"
"73",7098,2701200,1236600,"Grüningen"
"74",7099,2699000,1238200,"Grüningen"
"75",7100,2698200,1237200,"Grüningen"
"76",7101,2679800,1265800,"Hochfelden"
"77",7102,2696600,1239800,"Mönchaltorf"
"78",7103,2700000,1244800,"Seegräben"
"79",7104,2690600,1252600,"Wangen-Brüttisellen"
"80",7105,2686600,1259400,"Lufingen"
"81",7106,2692600,1253600,"Lindau"
"82",7107,2683200,1254800,"Rümlang"
"83",7108,2682200,1257200,"Rümlang"
"84",7109,2679200,1264400,"Stadel"
"85",7110,2697200,1243600,"Uster"
"86",7111,2695200,1247600,"Uster"
"87",7112,2699200,1242800,"Uster"
"88",7113,2694400,1248000,"Uster"
"89",7114,2698000,1246200,"Uster"
"90",7115,2694000,1256800,"Lindau"
"91",7116,2698600,1240800,"Gossau"
"92",7117,2698800,1237600,"Grüningen"
"93",7118,2692200,1258800,"Brütten"
"94",7119,2703800,1237800,"Bubikon"
"95",7120,2683000,1267200,"Bülach"
"96",7121,2695600,1237400,"Egg"
"97",7122,2682000,1268800,"Eglisau"
"98",7123,2685800,1266600,"Freienstein-Teufen"
"99",7124,2681200,1263400,"Hochfelden"
"100",7125,2681000,1265200,"Hochfelden"
"101",7126,2693200,1253200,"Lindau"
"102",7127,2697800,1241800,"Mönchaltorf"
"103",7128,2697000,1241600,"Mönchaltorf"
"104",7129,2681000,1260200,"Oberglatt"
"105",7130,2700000,1246200,"Pfäffikon"
"106",7131,2683400,1255200,"Rümlang"
"107",7132,2678000,1265200,"Stadel"
"108",7133,2678600,1265600,"Stadel"
"109",7134,2678800,1264600,"Stadel"
"110",7135,2678200,1266600,"Stadel"
"111",7137,2682000,1268000,"Bülach"
"112",7138,2687600,1261400,"Embrach"
"113",7139,2681200,1266800,"Glattfelden"
"114",7140,2699000,1235600,"Hombrechtikon"
"115",7141,2686800,1259000,"Lufingen"
"116",7142,2675600,1237000,"Affoltern a.A."
"117",7143,2674400,1231600,"Maschwanden"
"118",7144,2681400,1238600,"Adliswil"
"119",7146,2710200,1239600,"Wald"
"120",7147,2700600,1248600,"Fehraltorf"
"121",7148,2693800,1256400,"Lindau"
"122",7149,2700400,1276400,"Stammheim"
"123",7150,2700400,1261600,"Winterthur"
"124",7151,2689800,1276800,"Rheinau"
"125",7152,2707600,1257200,"Elgg"
"126",7153,2691600,1279800,"Benken"
"127",7154,2682400,1232800,"Hausen a.A."
