StandortID,p.dat,periode,KaboStatus,AktStandorttyp,Parameter,WertOB,WertOB_tab,Klasse_OB,WertUB,WertUB_tab,Klasse_UB,param_txt,einheit
16219,2022-06-29,6,NS,Acker,HGT_PPM,0.09,0.09,0,0.04,0.04,0,Quecksilber,ppm
1631,2000-08-08,2,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
1631,2005-10-26,3,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
1631,2010-11-25,4,NS,Acker,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
1631,2015-11-11,5,NS,Acker,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
1631,2020-11-13,6,NS,Acker,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6398,1995-09-19,1,NS,Wald,HGT_PPM,0.11,0.11,0,0.04,0.04,0,Quecksilber,ppm
6398,2000-07-19,2,NS,Wald,HGT_PPM,0,<0.15,-1,0.04,0.04,0,Quecksilber,ppm
6398,2005-10-27,3,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6398,2010-09-02,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6398,2015-09-24,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6398,2024-02-29,6,NS,Wald,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6399,1995-09-07,1,NS,Wald,HGT_PPM,0.09,0.09,0,0.05,0.05,0,Quecksilber,ppm
6399,2000-07-25,2,NS,Wald,HGT_PPM,0.11,0.11,0,NA,NA,NA,Quecksilber,ppm
6399,2005-09-06,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.05,0.05,0,Quecksilber,ppm
6399,2010-10-06,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6399,2015-07-09,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6400,1995-09-19,1,NS,Wald,HGT_PPM,0.09,0.09,0,0.04,0.04,0,Quecksilber,ppm
6400,2000-10-21,2,NS,Wald,HGT_PPM,0,<0.15,-1,NA,NA,NA,Quecksilber,ppm
6400,2005-11-23,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.04,0.04,0,Quecksilber,ppm
6400,2010-09-02,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6400,2015-05-13,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6400,2024-03-07,6,NS,Wald,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6401,1995-09-19,1,HS,Wald,HGT_PPM,0.09,0.09,0,0.05,0.05,0,Quecksilber,ppm
6401,2000-10-12,2,HS,Wald,HGT_PPM,0.09,0.09,0,0.06,0.06,0,Quecksilber,ppm
6401,2005-11-16,3,HS,Wald,HGT_PPM,0,<0.15,-1,0.05,0.05,0,Quecksilber,ppm
6401,2010-06-17,4,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6401,2015-11-11,5,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6401,2020-09-03,6,HS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6402,1995-09-19,1,NS,Wald,HGT_PPM,0.11,0.11,0,0.05,0.05,0,Quecksilber,ppm
6402,2000-07-19,2,NS,Wald,HGT_PPM,0.14,0.14,0,0.04,0.04,0,Quecksilber,ppm
6402,2005-10-27,3,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6402,2010-06-17,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6402,2015-11-18,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6402,2024-04-11,6,NS,Wald,HGT_PPM,NA,NA,NA,NA,NA,NA,Quecksilber,ppm
6403,1995-09-20,1,NS,Wald,HGT_PPM,0.13,0.13,0,0.04,0.04,0,Quecksilber,ppm
6403,2000-11-02,2,NS,Wald,HGT_PPM,0.12,0.12,0,NA,NA,NA,Quecksilber,ppm
6403,2005-09-15,3,NS,Wald,HGT_PPM,0,<0.15,-1,0.03,0.03,0,Quecksilber,ppm
6403,2010-08-18,4,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
6403,2015-10-08,5,NS,Wald,HGT_PPM,0,<0.15,-1,0,<0.15,-1,Quecksilber,ppm
