StandortID;KaboStatus;AktStandorttyp;PolitGemeinde;y_200;x_200
1631;NS;Acker,Gemüsebau,Spez.kulturen;HINWIL;1240400;2705000
6398;NS;Wald;WINTERTHUR;1263200;2697400
6399;NS;Wald;HENGGART;1269000;2694200
6400;NS;Wald;WINTERTHUR;1263800;2695200
6401;HS;Wald;SEUZACH;1264400;2697000
6402;NS;Wald;WINTERTHUR;1263200;2698600
6403;NS;Wald;WIESENDANGEN;1265200;2702400
6404;NS;Wald;RICKENBACH (ZH);1268600;2702200
6405;NS;Wald;RHEINAU;1277000;2690000
6406;NS;Wald;OSSINGEN;1274600;2694800
6407;NS;Wald;OSSINGEN;1275200;2694600
6408;NS;Wald;WINTERTHUR;1264200;2695600
6409;HS;Wald;WIESENDANGEN;1264200;2703200
6410;NS;Wald;ELLIKON AN DER THUR;1268400;2703400
6411;NS;Wald;ELLIKON AN DER THUR;1269000;2703200
6412;NS;Wald;BENKEN (ZH);1277600;2690400
6413;NS;Wald;MARTHALEN;1277400;2691200
6414;NS;Wald;KLEINANDELFINGEN;1276000;2692600
6415;NS;Wald;ANDELFINGEN;1271200;2695200
6416;NS;Wald;KLEINANDELFINGEN;1274400;2694200
6417;NS;Acker,Gemüsebau,Spez.kulturen;TRUELLIKON;1277400;2692600
6418;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1268400;2696000
6419;NS;Acker,Gemüsebau,Spez.kulturen;THALHEIM AN DER THUR;1271400;2697000
6420;NS;Acker,Gemüsebau,Spez.kulturen;OSSINGEN;1275000;2696000
6421;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1268400;2697200
6422;NS;Acker,Gemüsebau,Spez.kulturen;OSSINGEN;1274600;2697200
6423;NS;Acker,Gemüsebau,Spez.kulturen;SEUZACH;1266400;2696800
6424;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1269200;2696400
6425;NS;Acker,Gemüsebau,Spez.kulturen;HETTLINGEN;1267800;2695800
