StandortID;p.dat;periode;KaboStatus;AktStandorttyp;Parameter;Wert_plot_OB;Wert_tab_OB;Klasse_OB;Quelle_OB;Wert_plot_UB;Wert_tab_UB;Klasse_UB;Quelle_UB
16219;29.06.2022;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.09;0.09;0;vbbo;0.04;0.04;0;vbbo
1631;08.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
1631;26.10.2005;3;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
1631;25.11.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
1631;11.11.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
1631;13.11.2020;6;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6398;19.09.1995;1;NS;Wald;HGT_PPM;0.11;0.11;0;vbbo;0.04;0.04;0;vbbo
6398;19.07.2000;2;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.04;0.04;0;vbbo
6398;27.10.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6398;02.09.2010;4;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6398;24.09.2015;5;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0;<0.15;-1;xrf
6398;29.02.2024;6;NS;Wald;HGT_PPM;NA;NA;NA;NA;NA;NA;NA;NA
6399;07.09.1995;1;NS;Wald;HGT_PPM;0.09;0.09;0;vbbo;0.05;0.05;0;vbbo
6399;25.07.2000;2;NS;Wald;HGT_PPM;0.11;0.11;0;vbbo;NA;NA;NA;NA
6399;06.09.2005;3;NS;Wald;HGT_PPM;0;<0.15;-1;xrf;0.05;0.05;0;vbbo
